Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Canceled Rides by Customer,Reason for canceling by Customer,Ride distance,Driver Rating,Customer Rating
5/3/2024,7:07,CNR3656086594,Cancelled by Driver,CUST9561,Mini,Jogeshwari,Wadala,,,0,,,,
5/26/2024,13:19,CNR9848621776,Cancelled by Driver,CUST2625,Prime SUV,Chembur,Vikhroli,,,0,,,,
5/7/2024,21:05,CNR1674555072,Success,CUST3847,Bike,Goregaon,Powai,8.43,6.15,0,,16.94,3.9,4.8
5/1/2024,14:44,CNR7845366946,Success,CUST5771,Auto,Colaba,Matunga,3.52,7.86,0,,23.08,4.2,3.2
5/23/2024,22:55,CNR2950049698,Success,CUST4824,Prime Sedan,Vikhroli,Seepz,11.11,6.46,0,,24.83,4.4,3.2
5/21/2024,6:27,CNR1610900200,Success,CUST1977,Prime Plus,Wadala,Tardeo,14.83,12.49,0,,11.75,4.6,4.9
5/23/2024,18:58,CNR6534540349,Success,CUST3037,Mini,Chunabhatti,Wadala,11.79,12.53,0,,3.42,4.6,4.1
5/22/2024,8:32,CNR7614170462,Success,CUST8172,Auto,Tardeo,Borivali,13.78,7.22,0,,15.29,3,3.9
5/28/2024,23:20,CNR7887897660,Success,CUST1423,Auto,Colaba,Antop Hill,3.54,7.35,0,,19.83,4.5,4.2
5/26/2024,18:37,CNR5083595988,Success,CUST5415,Bike,Borivali,Girgaon,6.87,10.71,0,,26.19,3.4,4.9
5/24/2024,15:33,CNR8093179263,Success,CUST5557,Prime Plus,Seepz,Byculla,14.61,5.86,0,,26.84,4.1,5
5/19/2024,15:05,CNR7313646580,Success,CUST7690,Prime Sedan,Sion,Trombay,9.2,24.39,0,,16.17,4.3,4.4
5/4/2024,5:21,CNR7422990551,Success,CUST7561,Prime SUV,Girgaon,Parel,10.16,16.69,0,,27.13,3.1,3.6
5/2/2024,2:20,CNR6379012098,Success,CUST2899,Prime SUV,Churchgate,Kings Circle,13.57,14.11,0,,18.98,3.6,3.4
5/26/2024,0:42,CNR7279140605,Success,CUST1888,Prime Plus,Mazgaon,Charni Road,6.59,16.67,0,,3.25,4.9,5
5/19/2024,15:40,CNR1221670908,Cancelled by Driver,CUST5375,Bike,Malad,Matunga,,,0,,,,
5/14/2024,22:31,CNR1521521078,Success,CUST4920,eBike,Powai,Wadala,6.02,21.28,0,,20.86,3.3,4.8
5/18/2024,17:26,CNR1400330495,Cancelled by Driver,CUST2858,Mini,Kurla,Worli,,,0,,,,
5/26/2024,15:59,CNR8372755146,Success,CUST9337,eBike,Lower Parel,Dahisar,11.43,17.27,0,,13.13,4.9,4.7
5/26/2024,15:15,CNR5916199809,Success,CUST4122,Bike,Kings Circle,Fort,2.34,12.53,0,,24.51,5,3.3
5/27/2024,2:17,CNR8964640525,Success,CUST6568,Prime SUV,Kings Circle,Lower Parel,6.95,24.4,0,,25.42,4.7,3.9
5/26/2024,9:46,CNR5933179746,Success,CUST9824,Mini,Bhandup,Thane,5.55,6.13,0,,26.08,4.6,5
5/18/2024,17:24,CNR3995732958,Success,CUST7274,Prime Plus,Dahisar,Borivali,9.22,20.38,0,,28.4,4.7,3.5
5/10/2024,15:45,CNR6932342612,Success,CUST3492,Mini,Borivali,Malad,3.68,24.08,0,,18.58,3.5,4.3
5/16/2024,18:21,CNR4735334423,Success,CUST8213,Auto,Mazgaon,Kalbadevi,6.66,7.27,0,,20.48,4,4.5
5/1/2024,4:26,CNR5165932723,Success,CUST2225,Mini,Ghatkopar,Thane,13.08,16.04,0,,17.27,4.8,3.8
5/19/2024,12:41,CNR7586857685,Success,CUST6188,eBike,Dongri,Girgaon,2.37,20.1,0,,18.99,4.4,3.4
5/16/2024,17:02,CNR3651968205,Success,CUST4846,eBike,Antop Hill,Matunga,2.19,12.01,0,,18.11,3.8,3.9
5/31/2024,23:05,CNR4747699292,Incomplete,CUST8269,Prime Plus,Chunabhatti,Wadala,,,0,,,,
5/28/2024,1:20,CNR4419410162,Success,CUST5806,Prime Sedan,Charni Road,Byculla,8.68,20.67,0,,12.5,4.2,4.7
5/5/2024,16:26,CNR4403845222,Success,CUST3785,Prime Plus,Juhu,Versova,3.91,23.53,0,,15.27,3.5,3.9
5/27/2024,19:43,CNR6329323383,Success,CUST3344,Prime Plus,Kalbadevi,Vikhroli,8.4,11.58,0,,19.37,3.5,3.2
5/9/2024,8:42,CNR8750840032,Success,CUST5712,eBike,Nariman Point,Powai,3.66,8.04,0,,5.03,4.3,3.4
5/3/2024,11:37,CNR9426850694,Success,CUST5097,Mini,Wadala,Vile Parle,13.66,14.48,0,,20.36,3.3,3.4
5/31/2024,15:06,CNR6313758032,Success,CUST6881,Bike,Matunga,Chunabhatti,4.2,10.57,0,,6.13,3.2,3.2
5/9/2024,21:25,CNR2178884276,Success,CUST1803,Bike,Fort,Khar,4.68,12.29,0,,15.6,4.4,3.1
5/26/2024,9:49,CNR4431078106,Cancelled by Driver,CUST6772,Prime Plus,Vikhroli,Vile Parle,,,0,,,,
5/19/2024,21:48,CNR4600630513,Cancelled by Customer,CUST2591,eBike,Worli,Borivali,,,1,Change of plans,,,
5/25/2024,1:37,CNR1564409423,Success,CUST5835,Prime Sedan,Fort,Dahisar,13.36,23.42,0,,2.77,3.6,4.6
5/5/2024,4:50,CNR9467483275,Cancelled by Driver,CUST9697,Bike,Lower Parel,Powai,,,0,,,,
5/9/2024,15:51,CNR9033293776,Success,CUST2886,Mini,Goregaon,Mulund,4.72,12.41,0,,15.05,4.2,3.7
5/24/2024,7:55,CNR7688606771,Success,CUST2479,Prime SUV,Churchgate,Andheri,11.72,5.73,0,,8.32,4.4,4.8
5/9/2024,3:29,CNR2595467139,Success,CUST4830,Mini,Bandra,Versova,8.92,7.14,0,,13.97,4.1,3.5
5/27/2024,17:20,CNR9861449701,Success,CUST8606,eBike,Wadala,Worli,6.9,5.4,0,,10.34,3.4,3.7
5/12/2024,4:02,CNR5064162365,Success,CUST5986,Mini,Kurla,Kandivali,13.58,16.87,0,,20.69,4.6,4
5/8/2024,17:08,CNR6964188417,Success,CUST7078,eBike,Fort,Chunabhatti,8.98,16.74,0,,22.62,3.9,3.3
5/30/2024,13:37,CNR9381721143,Success,CUST1536,eBike,Charni Road,Chembur,6.72,17.92,0,,17.55,3.7,5
5/14/2024,7:54,CNR2557724698,Success,CUST7018,Bike,Worli,Bhandup,5.08,7.04,0,,5.43,3.5,3.3
5/2/2024,8:12,CNR5158416864,Success,CUST8450,Auto,Trombay,Chembur,5.71,8.47,0,,27.01,3.2,4
5/20/2024,19:01,CNR2432410914,Success,CUST3063,Prime SUV,Sandhurst Road,Chembur,14.77,7.24,0,,12.54,4.9,4.7
5/3/2024,17:13,CNR3518496186,Cancelled by Driver,CUST4817,Prime Sedan,Mulund,Tardeo,,,0,,,,
5/1/2024,4:08,CNR7615175036,Success,CUST3858,Auto,Trombay,Bandra,4.22,18.37,0,,27.95,4.1,4.1
5/4/2024,11:50,CNR4386287675,Success,CUST6304,Auto,Santacruz,Ghatkopar,12,8.74,0,,10.39,3.9,4
5/2/2024,23:26,CNR3259520140,Success,CUST2041,Mini,Jogeshwari,Charni Road,3.49,17.21,0,,9.37,4.2,3.3
5/16/2024,3:28,CNR3163970710,Success,CUST1710,eBike,Trombay,Mazgaon,8.92,6.04,0,,10.76,3.3,3.1
5/10/2024,20:01,CNR7019900273,Success,CUST2768,Mini,Dongri,Jogeshwari,6.19,21.2,0,,8.38,4.4,4.5
5/3/2024,2:20,CNR3612617557,Success,CUST2076,Prime Plus,Lower Parel,Versova,8.13,13.24,0,,11.12,4.9,4.7
5/19/2024,17:45,CNR6691628146,Success,CUST9692,Prime Sedan,Kalbadevi,Kings Circle,3.62,19.62,0,,28.21,3.4,3.1
5/19/2024,3:50,CNR4014119648,Cancelled by Driver,CUST4522,Mini,Jogeshwari,Colaba,,,0,,,,
5/13/2024,14:25,CNR5703357871,Success,CUST7992,Prime Sedan,Trombay,Ghatkopar,12.94,7.8,0,,24.06,3.4,3.3
5/12/2024,4:43,CNR9259157845,Success,CUST2099,Auto,Juhu,Byculla,12.59,18.3,0,,16.17,3.7,4.8
5/4/2024,23:23,CNR4486522557,Success,CUST1982,Bike,Parel,Thane,12.62,13.78,0,,11.93,3.9,3.6
5/21/2024,13:22,CNR6636925105,Cancelled by Driver,CUST2697,Bike,Kings Circle,Chembur,,,0,,,,
5/5/2024,15:14,CNR4639017775,Success,CUST6736,Prime SUV,Parel,Charni Road,5.02,22.99,0,,12.13,4.1,4.8
5/4/2024,8:36,CNR3391179068,Cancelled by Customer,CUST5381,Auto,Santacruz,Lower Parel,,,1,Change of plans,,,
5/29/2024,11:00,CNR8118240999,Success,CUST2140,Prime Plus,Fort,Vikhroli,14.22,17.55,0,,10.71,3.3,4.6
5/30/2024,2:47,CNR3278405793,Cancelled by Customer,CUST7163,Mini,Kalbadevi,Thane,,,1,Driver asked to cancel,,,
5/12/2024,23:20,CNR1225953184,Success,CUST3579,Prime SUV,Versova,Dadar,13.62,20.77,0,,5.4,3.6,3.5
5/21/2024,8:28,CNR8137972345,Cancelled by Driver,CUST8957,Bike,Jogeshwari,Dahisar,,,0,,,,
5/9/2024,16:07,CNR6777473414,Success,CUST2816,Prime Sedan,Antop Hill,Seepz,9.41,20.25,0,,26.43,3.7,4.6
5/16/2024,21:19,CNR1195066088,Success,CUST7475,Bike,Dadar,Andheri,13,7.55,0,,12.52,4.6,3.3
5/6/2024,6:49,CNR6392415228,Success,CUST6375,Auto,Andheri,Khar,11.39,19.4,0,,19.59,4.4,4.1
5/23/2024,5:08,CNR4022245086,Success,CUST9196,Bike,Trombay,Bhandup,6.49,8.63,0,,27.35,4.2,3.8
5/3/2024,23:02,CNR2873548915,Success,CUST8532,Auto,Sion,Sandhurst Road,14.31,8.07,0,,18,4,4.2
5/13/2024,12:45,CNR8044354825,Success,CUST5743,Auto,Churchgate,Bandra,13.34,23.64,0,,17.39,4.4,4.8
5/30/2024,5:51,CNR2554145481,Cancelled by Driver,CUST8155,Prime SUV,Kandivali,Grant Road,,,0,,,,
5/14/2024,12:33,CNR5632753983,Success,CUST6083,eBike,Thane,Colaba,9.49,17.13,0,,13.3,4.5,4.9
5/11/2024,5:04,CNR3190227431,Incomplete,CUST6724,Prime Sedan,Elphinstone,Worli,,,0,,,,
5/25/2024,7:06,CNR5923940434,Success,CUST4232,Prime Plus,Tardeo,Mulund,3.47,24.7,0,,25.33,3.2,4.8
5/24/2024,20:04,CNR7417183769,Cancelled by Driver,CUST8354,eBike,Sandhurst Road,Worli,,,0,,,,
5/19/2024,19:20,CNR7988845536,Success,CUST3473,Mini,Goregaon,Kamathipura,9.69,12.98,0,,2.59,3.7,4.6
5/14/2024,9:50,CNR5536224717,Success,CUST9312,Auto,Wadala,Kalbadevi,6.34,12.96,0,,16.58,4.8,3.7
5/14/2024,1:23,CNR8867077130,Success,CUST2257,eBike,Juhu,Versova,11.59,14.04,0,,7.51,3.9,3.3
5/19/2024,12:29,CNR5471158508,Success,CUST4084,Prime Sedan,Tardeo,Kamathipura,8.48,13.38,0,,27.53,3.7,4.2
5/16/2024,1:28,CNR4067961943,Cancelled by Customer,CUST9266,eBike,Santacruz,Borivali,,,1,Driver asked to cancel,,,
5/23/2024,14:33,CNR5976777081,Success,CUST7108,Prime Sedan,CST,Dahisar,10.63,8.56,0,,28.87,3.3,3.8
5/25/2024,21:38,CNR2437308013,Success,CUST6401,Auto,Parel,Antop Hill,14.96,15.04,0,,18.27,3.1,4.5
5/12/2024,8:46,CNR5940815822,Success,CUST2335,Bike,Trombay,Mulund,13.67,9.1,0,,6.53,3.1,3.9
5/29/2024,9:41,CNR2683446724,Success,CUST2388,Prime Sedan,Parel,CST,2.85,20.51,0,,14.15,4,3.9
5/20/2024,10:52,CNR9991312028,Success,CUST7937,Bike,Charni Road,Bandra,9.28,8.1,0,,6.28,4.7,4.9
5/11/2024,5:13,CNR8585583166,Success,CUST4145,Prime Plus,Malad,Mulund,5.52,17.88,0,,12.85,3.1,3.3
5/3/2024,3:32,CNR9752058817,Cancelled by Driver,CUST6517,Prime SUV,Versova,Malad,,,0,,,,
5/19/2024,4:10,CNR4876877928,Cancelled by Customer,CUST8170,Auto,Dahisar,Charni Road,,,1,Driver asked to cancel,,,
5/30/2024,19:18,CNR8661364201,Success,CUST4833,Bike,Grant Road,Wadala,4.89,9.62,0,,20.48,3,3.2
5/30/2024,15:57,CNR4586784711,Cancelled by Driver,CUST7026,eBike,Sandhurst Road,Jogeshwari,,,0,,,,
5/15/2024,9:49,CNR7560389844,Success,CUST3655,Prime SUV,Vile Parle,Tardeo,10.49,9.76,0,,3.88,3.5,4.4
5/5/2024,8:03,CNR8048810275,Cancelled by Driver,CUST7081,Bike,Kandivali,Dongri,,,0,,,,
5/26/2024,3:18,CNR5983503547,Cancelled by Driver,CUST8361,Bike,Mulund,Byculla,,,0,,,,
5/4/2024,7:52,CNR5409514899,Success,CUST1872,Mini,Kings Circle,Charni Road,10.69,9.1,0,,9.5,4.8,3
5/8/2024,2:23,CNR1964386641,Success,CUST6221,Auto,Dongri,Worli,4.7,5.53,0,,6.26,4.2,3.8
5/11/2024,4:08,CNR5459478267,Incomplete,CUST8740,eBike,Malad,Girgaon,,,0,,,,
5/23/2024,14:39,CNR1340272119,Cancelled by Driver,CUST5193,Prime Plus,Mulund,Parel,,,0,,,,
5/30/2024,19:33,CNR2817865363,Success,CUST5720,Prime Plus,Wadala,Kurla,5.37,12.59,0,,18.12,3.5,4.2
5/2/2024,13:40,CNR2963288053,Success,CUST2816,Prime SUV,Khar,Tardeo,9.18,13.72,0,,9.54,4.9,4.5
5/17/2024,20:32,CNR3469810046,Success,CUST3352,Prime Sedan,Byculla,Andheri,13.29,14.75,0,,26.94,4.6,3.9
5/19/2024,7:36,CNR2789144223,Success,CUST2402,Bike,Charni Road,Goregaon,5.49,15.83,0,,19.37,3.5,3.3
5/30/2024,17:32,CNR5382302465,Cancelled by Driver,CUST8702,Auto,Vikhroli,CST,,,0,,,,
5/31/2024,8:47,CNR5364727160,Success,CUST2106,Prime Sedan,Grant Road,Elphinstone,8.83,8.43,0,,8.9,3,4.8
5/20/2024,3:49,CNR8544878538,Success,CUST3185,Auto,Bhandup,Nariman Point,9.49,10.48,0,,17.07,4.3,4.7
5/11/2024,20:11,CNR8235656521,Success,CUST8840,eBike,Santacruz,Malad,2.14,7.74,0,,27.1,4.7,4.2
5/2/2024,14:02,CNR2260326267,Success,CUST1717,Prime SUV,Vile Parle,Borivali,10.65,8.51,0,,27.52,3.8,3.8
5/10/2024,9:32,CNR7328203808,Success,CUST1599,Prime SUV,Worli,Vile Parle,2.61,8.33,0,,22.4,3.2,4.2
5/9/2024,1:55,CNR8111312076,Success,CUST5476,Auto,Charni Road,Byculla,7.06,10.77,0,,11.31,4.4,3.6
5/28/2024,23:28,CNR6955593943,Success,CUST4060,Mini,Chunabhatti,Khar,8.19,18.27,0,,28.17,4.5,3.4
5/12/2024,16:17,CNR4440904834,Success,CUST7955,Auto,Byculla,Tardeo,5.41,16.9,0,,2.49,4,4.2
